Companies,Employees,Total Revenue (FY),Revenue per Employee (FY),ROA (Return on Asset) (FY),ROIC (Return on Invested Capital) (FY),Net Profit Margin (FY),EBITDA Margin (FY),Revenue % Growth (FY),Net Debt (FY),Debt to Capital (FY),Total Assets (FY),Price % Change YTD,EV (FY),HQ State/Province,Primary Industry Group,CEO,CEO Total Compensation (in millions)
E2open (NYS: ETWO),"3,916","652,215.00","162,363.70",(32.01),(15.79),(110.42),(103.16),53.26,"988,380",0.30,"4,400,175.00",(25.21),"3,133,120",Texas,Software,Andrew Appel,28.22
Sprinklr (NYS: CXM),"3,869","618,190.00","176,072.34",4.73,(10.49),(9.02),(5.73),25.55,"(561,859)",0.03,"1,024,991.00",47.37,"2,064,849",New York,Software,Ragy Thomas,12.41
Verint Systems (NAS: VRNT),"3,800","902,245.00","209,824.42",1.79,1.10,1.74,14.11,3.17,"177,129",0.35,"2,313,601.00",(25.50),"3,120,927",New York,Software,Dan Bodner,12.24
Fair Isaac (NYS: FICO),"3,604","1,513,557.00","438,077.28",30.90,42.23,28.37,43.86,9.90,"1,765,119",1.57,"1,575,281.00",94.46,"23,398,206",Montana,Software,William J. Lansing,66.35
Guidewire Software (NYS: GWRE),"3,587","905,341.00","265,107.17",(0.30),(7.36),(12.36),(14.02),11.41,"(350,109)",0.27,"2,027,888.00",74.30,"6,653,600",California,Software,Michael Rosenbaum,9.55
The Trade Desk (NAS: TTD),"3,522","1,577,795.00","569,601.08",63.21,2.09,3.38,10.71,31.87,"(1,185,629)",0.11,"4,380,679.00",60.52,"20,890,136",California,Commercial Services,Jeff T. Green,32.01
ZoomInfo Technologies (NAS: ZI),"3,508","1,098,000.00","310,169.49",7.46,2.93,5.76,30.05,46.95,"768,200",0.37,"7,136,400.00",(38.59),"13,030,513",Washington,Commercial Services,Henry Shuck,4.97
Gen Digital (NAS: GEN),"3,400","3,338,000.00","902,162.16",0.44,19.63,40.41,45.51,19.38,"9,069,000",0.82,"15,947,000.00",6.49,"20,283,462",Arizona,Software,Vincent Pilette,25.29
Altair Engineering (Business/Productivity Software) (NAS: ALTR),"3,300","612,701.00","191,469.06",3.84,(0.45),(1.46),9.44,7.07,"(128,625)",0.32,"1,363,493.00",85.07,"6,780,186",Michigan,Software,James Scapa,7.32
ASGN (NYS: ASGN),"3,200","4,581,100.00","1,145,275.00",1.03,10.07,5.83,10.93,14.26,"1,051,500",0.37,"3,585,700.00",18.03,"4,996,152",Virginia,IT Services,Theodore Hanson,6.86
ACI Worldwide (NAS: ACIW),"3,103","1,452,579.00","452,235.06",5.05,7.52,8.37,23.81,2.16,"902,839",0.45,"3,444,739.00",33.04,"4,287,277",Florida,Software,Thomas Warsop III,5.23
Five9 (NAS: FIVN),"3,073","778,846.00","327,246.22",(0.69),(8.83),(12.15),(5.51),27.77,"176,297",0.72,"1,244,485.00",15.96,"4,997,685",California,Software,Michael Burkland,1.20
Confluent (NAS: CFLT),"3,060","585,944.00","212,221.66",1.65,(23.49),(77.23),(74.86),51.07,"(809,814)",0.59,"2,344,849.00",5.22,"5,548,178",California,Software,Edward Jay Kreps,0.07
CyberArk Software (NAS: CYBR),"3,018","591,710.00","213,768.06",(13.55),(11.60),(22.03),(22.81),17.66,"(377,081)",0.46,"1,819,401.00",68.95,"4,897,977",Massachusetts,Software,Matthew Cohen,7.91
Datadog (NAS: DDOG),"3,000","1,675,100.00","348,979.17",(3.89),(3.18),(2.99),(1.30),62.82,"(1,046,805)",0.37,"3,004,852.00",65.14,"22,411,073",New York,Software,Olivier Pomel,11.64
ServiceTitan (NAS: TTAN),"3,000","467,734.00",,4.01,,(57.62),(36.77),,"50,632",-3.09,"1,600,388.00",,,California,Software,Ara Mahdessian,7.21
AvePoint (NAS: AVPT),"2,934","271,825.00","106,891.47",(12.52),(8.91),(7.91),(5.12),16.99,"(217,500)",0.04,"442,582.00",99.76,"1,322,572",New Jersey,Software,Tianyi Jiang,1.82
Lyft (NAS: LYFT),"2,934","4,095,135.00","926,710.79",0.46,(80.88),(38.69),(35.44),27.64,"(735,139)",0.73,"4,556,431.00",36.03,"3,272,539",California,Transportation,John Risher,78.25
Paycor (NAS: PYCR),"2,900","552,692.00","197,390.00",(2.21),(6.89),(16.87),5.63,28.72,"(79,172)",0.01,"2,541,175.00",(11.77),"4,112,372",Ohio,Software,Raul Villar Jr.,10.19
Samsara (NYS: IOT),"2,895","652,545.00","287,972.20",(8.42),(23.83),(37.92),(37.96),52.34,"(566,942)",0.12,"1,617,008.00",168.54,"6,466,494",California,Software,Sanjit Biswas,10.12
CommVault Systems (NAS: CVLT),"2,882","784,590.00","282,328.18",20.88,(13.95),(4.56),(0.75),1.95,"(275,000)",0.06,"782,574.00",27.07,"2,266,667",New Jersey,Software,Sanjay Mirchandani,10.85
Workiva (NYS: WK),"2,828","537,875.00","219,809.97",(4.34),(23.18),(16.91),(14.43),21.34,"(57,626)",0.98,"819,620.00",20.91,"4,353,174",Iowa,Software,Julie Iskow,13.25
Progress Software (NAS: PRGS),"2,815","602,013.00","290,687.11",3.85,10.48,15.79,34.28,13.31,"384,314",0.62,"1,411,479.00",7.63,"2,711,033",Massachusetts,IT Services,Yogesh Gupta,8.64
Remitly (NAS: RELY),"2,800","653,560.00","242,059.26",(3.66),(24.13),(17.45),(16.69),42.51,"(291,440)",0.02,"695,953.00",69.61,"1,587,485",Washington,Software,Matthew Oppenheimer,0.29
SPS Commerce (NAS: SPSC),"2,783","450,875.00","203,555.30",8.46,10.55,12.23,22.07,17.03,"(197,019)",0.03,"672,914.00",50.93,"4,409,989",Minnesota,Commercial Services,Chad Collins,6.80
Penguin Solutions (NAS: PENG),"2,700","1,441,250.00","480,416.67",(2.72),3.96,0.67,4.76,3.25,"466,031",0.79,"1,505,958.00",27.22,"1,785,980",California,Computer Hardware,Mark Adams,3.21
SentinelOne (NYS: S),"2,700","422,179.00","201,037.62",(15.13),(23.49),(89.70),(88.62),106.14,"(596,551)",0.02,"2,258,913.00",88.07,"3,592,028",California,Software,Tomer Weingarten,14.00
SolarWinds (NYS: SWI),"2,680","719,367.00","312,089.80",3.53,(24.38),(129.20),(101.43),0.10,"1,127,491",0.48,"3,200,006.00",33.44,"2,682,012",Texas,Software,Sudhakar Ramakrishna,8.57
Blackbaud (NAS: BLKB),"2,600","1,058,105.00","330,657.81",(10.41),(1.04),(4.29),7.64,14.05,"872,270",0.55,"2,992,703.00",47.30,"4,002,520",South Carolina,Software,Michael Gianoni,9.60
Jamf (NAS: JAMF),"2,595","560,571.00","202,591.62",(4.35),(10.75),(19.64),(11.42),17.08,"123,423",0.34,"1,589,652.00",(15.21),"2,410,627",Minnesota,Software,John Strosahl,10.03
Box (IT Services) (NYS: BOX),"2,530","990,874.00","398,421.39",(6.43),6.08,2.70,10.67,13.33,"73,856",47.55,"1,207,165.00",(17.73),"5,236,051",California,IT Services,Aaron Levie,0.27
Q2 Software (NYS: QTWO),"2,477","624,624.00","269,815.98",18.65,(6.40),(10.47),1.58,10.42,"222,480",0.55,"1,201,425.00",61.56,"2,800,494",Texas,Software,Matthew Flake,11.35
Rapid7 (NAS: RPD),"2,413","685,083.00","261,183.00",(3.08),(15.04),(18.20),(10.52),27.96,"622,889",1.15,"1,358,991.00",68.04,"2,678,485",Massachusetts,Software,Corey Thomas,3.14
Payoneer (NAS: PAYO),"2,407","627,623.00","268,674.23",1.68,(0.72),(1.91),5.10,32.58,"(512,287)",0.05,"6,594,651.00",(4.75),"1,432,434",New York,Software,John Caplan,0.95
Varonis Systems (NAS: VRNS),"2,406","473,634.00","221,014.47",(7.44),(15.31),(26.29),(22.28),21.40,"(416,026)",0.39,"1,043,732.00",89.14,"2,155,774",New York,Software,Yakov Faitelson,5.87
Qualys (NAS: QLYS),"2,400","489,723.00","228,522.17",19.59,24.44,22.05,33.31,19.10,"(279,146)",0.13,"700,941.00",74.89,"3,917,986",California,Software,Sumedh Thakar,7.78
CCC Intelligent Solutions (NAS: CCCS),"2,310","866,378.00","372,635.70",1.01,(1.85),(10.40),11.32,10.73,"637,516",0.32,"3,051,040.00",30.92,"7,263,558",Illinois,Software,Githesh Ramamurthy,54.55
NetScout Systems (NAS: NTCT),"2,296","914,530.00","388,335.46",(5.50),2.85,6.52,17.46,6.89,"(258,529)",0.07,"2,820,560.00",(32.48),"1,884,124",Massachusetts,IT Services,Anil Singhal,4.51
ePlus (NAS: PLUS),"2,291","2,067,718.00","1,178,858.61",7.27,13.02,5.77,8.98,13.55,"71,860",0.18,"1,414,826.00",80.31,"1,526,145",Virginia,IT Services,Mark Marron,4.42
Dropbox (NAS: DBX),"2,204","2,324,900.00","745,638.23",15.70,29.22,23.79,14.90,7.74,"951,200",1.16,"3,110,100.00",31.72,"8,704,165",California,Software,Andrew Houston,1.54
Zeta Global Holdings (NYS: ZETA),"2,191","590,961.00","368,429.55",(9.52),(93.28),(47.25),(37.49),28.94,"62,843",0.59,"466,502.00",7.96,"1,757,158",New York,Software,David Steinberg,18.87
Bill.com (NYS: BILL),"2,187","1,058,468.00","419,860.37",(0.30),(4.76),(21.14),(19.21),64.88,"(747,956)",0.32,"9,636,018.00",(25.12),"11,667,874",California,Software,Ren Lacerte,17.72
Klaviyo (NYS: KVYO),"2,182","472,748.00",,(3.97),,(10.41),(9.65),62.66,"(323,412)",-0.06,"629,079.00",(15.20),,Massachusetts,Software,Andrew Bialecki,0.81
EverCommerce (NAS: EVCM),"2,100","620,746.00","269,889.57",(2.94),(1.90),(9.64),12.92,26.65,"443,821",0.37,"1,591,728.00",48.25,"1,886,232",Colorado,Software,Eric Remer,6.21
Rimini Street (NAS: RMNI),"2,040","431,496.00","203,535.85",(9.94),119.14,6.04,,5.33,"(43,948)",1.94,"393,796.00",(14.17),"247,777",Nevada,IT Services,Seth Ravin,4.73
Appian (NAS: APPN),"2,033","467,991.00","202,856.96",(15.65),(52.95),(32.25),(30.18),26.74,"(11,970)",0.56,"594,214.00",15.66,"2,329,607",Virginia,Software,Matthew Calkins,1.16
Alarm.com Holdings (NAS: ALRM),"2,010","881,682.00","443,279.03",6.97,4.88,9.11,13.11,4.64,"(170,957)",0.43,"1,439,563.00",30.60,"3,109,094",Virginia,Computer Hardware,Stephen Trundle,2.00
Affirm (NAS: AFRM),"2,006","1,587,985.00","731,453.25",(5.84),(10.97),(62.05),(42.29),17.69,"3,384,326",0.68,"8,155,615.00",408.17,"7,317,833",California,Other Financial Services,Max Levchin,0.41
8X8 (NAS: EGHT),"1,948","743,938.00","387,266.01",(8.29),(7.47),(9.83),(5.78),16.58,"431,245",0.85,"841,810.00",(12.50),"917,545",California,Communications and Networking,Samuel Wilson,5.04
Clearwater Analytics Holdings (NYS: CWAN),"1,915","303,426.00","175,593.75",61.35,(2.05),(2.21),(0.44),20.40,"(179,016)",0.22,"481,942.00",6.83,"3,396,615",Idaho,Software,Sandeep Sahai,32.30
Agilysys (NAS: AGYS),"1,900","198,065.00","123,790.63",29.79,8.13,7.36,8.64,21.78,"(96,100)",0.13,"243,036.00",7.18,"2,025,389",Georgia,Software,Ramesh Srinivasan,5.84
Vertex (Software Company) (NAS: VERX),"1,900","572,387.00","381,591.33",(5.38),(3.52),(2.29),9.95,16.43,"(10,752)",0.21,"759,927.00",85.67,"4,148,696",Pennsylvania,Software,David DeStefano,7.53
Tenable (NAS: TENB),"1,872","683,191.00","359,574.21",(2.23),(12.39),(13.50),(7.37),26.25,"(147,033)",0.61,"1,439,530.00",20.73,"4,166,403",Maryland,Software,Amit Yoran,9.26
BlackLine (NAS: BL),"1,830","589,996.00","337,140.57",8.74,0.87,10.01,10.92,12.82,"205,997",0.84,"2,100,765.00",(7.18),"4,101,470",California,Software,Therese Tucker,6.96
Calix (NYS: CALX),"1,820","867,827.00","608,574.33",(3.19),6.22,4.73,7.65,27.74,"(229,324)",0.02,"884,835.00",(36.15),"4,256,737",California,Software,Michael D. Weening,7.16
Aurora Innovation (NAS: AUR),"1,800","68,000.00","40,000.00",(35.15),(64.55),"(2,533.82)","(2,501.47)",(17.07),"(965,000)",0.07,"2,001,000.00",261.16,"309,580",Pennsylvania,Commercial Transportation,Chris Urmson,0.68
Donnelley Financial Solutions (NYS: DFIN),"1,800","797,200.00","419,578.95",10.89,16.26,10.31,23.82,(4.37),"127,500",0.27,"806,900.00",61.37,"2,001,744",Illinois,Commercial Services,Daniel N. Leib,6.70
Xperi (NYS: XPER),"1,680","521,334.00","248,254.29",(0.14),(27.23),(26.79),(10.60),3.80,"(61,487)",0.17,"673,635.00",27.99,"430,653",California,Consumer Durables,Jon E. Kirchner,1.20
i3 Verticals (NAS: IIIV),"1,663","226,722.00","136,333.13",(1.58),(0.29),(10.45),15.05,20.76,"397,525",0.63,"884,417.00",(13.02),"982,358",Tennessee,Software,Greg Daily,0.34
nCino (NAS: NCNO),"1,653","408,315.00","227,981.57",(3.32),(9.00),(24.94),(14.87),49.09,"14,500",0.09,"1,327,269.00",27.19,"3,150,366",North Carolina,Software,Pierre Naudé,7.80
N-able Technologies (NYS: NABL),"1,635","371,769.00","254,287.96",2.56,3.18,4.49,19.83,7.31,"277,022",0.37,"1,078,857.00",28.89,"2,147,061",Massachusetts,Software,John Pagliuca,6.10
AppFolio (NAS: APPF),"1,634","471,883.00","264,360.22",41.19,(20.80),(14.44),(7.18),31.31,"(106,472)",0.17,"381,217.00",64.40,"3,619,286",California,Software,Jason Randall,15.09
BigCommerce (NAS: BIGC),"1,611","279,075.00","186,050.00",0.38,(32.48),(50.14),(47.06),26.94,"46,600",0.88,"474,056.00",11.33,"687,543",Texas,Software,Brent Bellm,4.65
AvidXchange (NAS: AVDX),"1,600","316,350.00","197,718.75",(6.66),(10.35),(32.02),(17.24),27.35,"(310,724)",0.19,"2,211,996.00",24.65,"1,663,539",North Carolina,Software,Michael Praeger,7.28
JFrog (NAS: FROG),"1,600","280,040.00","215,415.38",(8.10),(14.37),(32.20),(26.85),35.49,"(419,239)",0.04,"871,221.00",62.26,"1,728,102",California,Software,Shlomi Ben Haim,7.16
Par Technology (NYS: PAR),"1,585","262,347.00","149,485.47",3.47,(9.25),(30.52),(16.96),(7.26),"282,749",0.51,"854,858.00",67.01,"977,750",New York,Software,Donald H. Foley,0.51
Netsol Technologies (NAS: NTWK),"1,569","52,393.00","29,600.69",29.04,(8.60),(7.91),(0.81),(8.48),"(8,420)",0.17,"58,379.00",(23.74),"21,966",California,Software,Najeeb Ghauri,0.90
AppLovin (NAS: APP),"1,563","2,817,058.00","1,650,297.60",(17.44),(0.59),(6.85),18.13,0.86,"2,199,725",0.63,"5,847,846.00",278.44,"6,255,653",California,Software,Andrew Karam,7.40
SEMrush (NYS: SEMR),"1,561","254,316.00","193,249.24",(11.14),(16.60),(13.31),(11.53),35.27,"(224,916)",0.06,"298,690.00",67.81,"905,702",Massachusetts,Software,Oleg Shchegolev,4.35
Braze (NAS: BRZE),"1,548","355,426.00","236,792.80",(5.07),(27.26),(39.60),(38.00),49.32,"(427,385)",0.10,"705,406.00",94.76,"2,642,483",New York,Software,Bill Magnuson,11.96
MicroStrategy (Business/Productivity Software) (NAS: MSTR),"1,534","499,264.00","232,000.00",,(54.59),(294.39),(252.06),(2.25),"2,402,523",1.19,"2,410,272.00",346.15,"4,019,016",Virginia,Software,Michael J. Saylor,0.79
PROS Holdings (NYS: PRO),"1,501","276,137.00","180,717.93",15.91,(25.92),(29.78),(23.13),9.83,"121,998",1.12,"452,952.00",59.89,"1,219,129",Texas,Software,Andres Reiner,7.50
Information Services Group (NAS: III),"1,500","286,267.00","179,028.77",(59.69),12.55,6.89,12.23,3.04,"55,385",0.46,"243,028.00",2.39,"274,155",Connecticut,Commercial Services,Michael P. Connors,2.94
Onestream (NAS: OS),"1,500","374,921.00",,0.84,(23.58),(7.72),(7.65),34.22,"(97,060)",0.16,"361,559.00",,,Michigan,Software,Bruce Williams,5.00
The Hackett Group (NAS: HCKT),"1,478","293,742.00","249,993.19",2.03,27.42,13.89,19.98,5.36,"30,852",0.51,"184,993.00",11.78,"580,650",Florida,Commercial Services,Stefan Ortmanns,14.43
Cerence (NAS: CRNC),"1,400","294,475.00","173,220.59",10.97,(4.81),(19.10),(3.39),(10.19),"178,967",0.29,"1,297,590.00",6.10,"1,013,008",Massachusetts,Software,Scott Howe,8.50
LiveRamp Holdings (NYS: RAMP),"1,400","596,583.00","435,462.04",(51.82),(12.09),(20.80),(16.44),12.85,"(450,083)",0.05,"1,172,703.00",61.60,"1,009,824",California,IT Services,Jennifer Tejada,10.00
PagerDuty (NYS: PD),"1,344","370,793.00","318,004.29",(9.12),(23.53),(34.85),(30.86),31.77,"(175,451)",0.56,"817,873.00",(12.84),"2,525,533",California,Software,Justyn Howard,4.80
Sprout Social (NAS: SPT),"1,322","333,643.00","241,245.84",(15.51),(36.48),(19.91),(18.53),31.44,"(20,374)",0.34,"396,585.00",8.82,"3,421,628",Illinois,Software,Jeffrey H. Miller,19.91
Synchronoss Technologies (NAS: SNCR),"1,321","173,756.00","124,288.98",(6.71),1.51,(3.87),21.16,(8.23),"151,075",0.71,"398,072.00",11.63,"279,353",New Jersey,IT Services,Robert L. Berman,4.50
Intermex (Other Financial Services) (NAS: IMXI),"1,303","546,805.00","440,261.67",(9.23),23.36,10.48,16.89,19.08,"34,247",0.55,"512,072.00",(9.36),"924,140",Florida,Other Financial Services,Robert Lisy,2.13
Pony.ai (NAS: PONY),"1,300","68,386.00",,(17.05),,(216.78),(192.37),742.50,"(564,868)",-0.02,"771,514.00",,,California,Computer Hardware,Raman Mehta,5.00
Paymentus (NYS: PAY),"1,273","497,001.00","394,445.24",4.65,(0.45),(0.10),4.24,25.66,"(134,701)",0.03,"461,539.00",123.10,"851,932",North Carolina,Software,Mike Massaro,7.00
Flywire (NAS: FLYW),"1,250","403,094.00","335,911.67",0.27,,(2.13),(0.39),39.30,,4.68,"1,079,731.00",(5.39),"2,173,502",Massachusetts,Software,Michael Massaro,21.87
Intapp (NAS: INTA),"1,235","350,873.00","305,106.96",(4.83),(24.26),(19.79),(14.24),28.96,"(114,182)",0.05,"628,907.00",52.45,"2,787,773",California,Software,Eric Stang,5.50
Ooma (NYS: OOMA),"1,221","216,165.00","476,134.36",(4.51),(5.40),(1.69),1.52,12.42,"(12,817)",0.18,"131,005.00",(21.22),"346,054",California,Communications and Networking,Yancey Spruill,7.20
DigitalOcean (NYS: DOCN),"1,210","576,322.00","478,672.76",5.52,(1.71),(4.82),13.21,34.48,"771,161",0.97,"1,815,631.00",44.05,"3,097,151",New York,IT Services,Mark Zagorski,6.20
DoubleVerify (NYS: DV),"1,197","452,418.00","501,572.06",3.17,4.70,9.56,20.40,35.97,"(184,061)",0.09,"1,037,028.00",67.49,"3,462,405",New York,Software,Thomas Kim,6.80
Enfusion (NYS: ENFN),"1,143","174,535.00","158,380.22",4.27,8.08,5.30,11.36,16.09,"(20,167)",0.22,"108,972.00",0.31,"863,696",Illinois,Software,Oleg Movchan,1.46
Vimeo (NAS: VMEO),"1,102","417,214.00","389,919.63",4.42,6.34,5.28,7.37,(3.65),"(301,372)",0.00,"622,920.00",14.29,"366,502",New York,Software,Anjali Sud,3.11
Bandwidth (US) (NAS: BAND),"1,100","573,152.00","521,047.27",(0.63),2.55,3.41,9.76,16.75,"307,764",0.64,"929,318.00",(36.95),"920,602",North Carolina,Software,David Morken,1.98
Fastly (NYS: FSLY),"1,100","432,725.00","389,141.19",(10.63),(10.06),(44.09),(29.47),22.12,"315,566",0.47,"1,896,113.00",117.34,"1,310,970",California,Software,Todd Nightingale,10.17
Yext (NYS: YEXT),"1,100","400,850.00","334,041.67",(5.38),(23.75),(16.45),(9.62),2.63,"(71,525)",0.48,"523,761.00",(9.80),"806,775",New York,Commercial Services,Michael Walrath,11.44
Upland Software (NAS: UPLD),"1,061","317,303.00","315,410.54",(18.74),(4.51),(21.56),4.77,5.06,"274,482",0.63,"1,113,459.00",(40.67),"620,794",Texas,Software,John Mcdonald,2.92
PubMatic (NAS: PUBM),"1,049","256,380.00","293,005.71",(18.84),8.75,11.20,27.11,12.99,"(147,804)",0.08,"642,175.00",27.32,"535,414",California,Commercial Services,Rajeev Goel,10.27
LivePerson (NAS: LPSN),"1,014","514,800.00","366,666.67",(48.16),(25.80),(43.85),(32.88),9.62,"351,053",0.92,"1,088,940.00",(62.62),"1,114,303",New York,IT Services,John C. Collins,2.48
Cellebrite DI (NAS: CLBT),"1,008","270,651.00","269,304.48",8.71,686.49,44.63,47.48,9.91,"(168,267)",0.17,"403,293.00",98.62,"680,335",Virginia,Software,Yossi Carmil,2.15
CoreCard (NYS: CCRD),"1,000","69,765.00","58,137.50",1.42,26.30,19.90,35.45,44.60,"(23,391)",0.04,"63,232.00",(52.26),"220,911",Georgia,Commercial Products,J. Leland Strange,0.59
Priority Technology Holdings (NAS: PRTH),983,"755,612.00","768,679.55",13.89,8.03,(0.17),20.07,13.86,"599,073",1.30,"1,615,337.00",(32.32),"1,125,807",Georgia,Software,Thomas Priore,3.23
Domo (NAS: DOMO),958,"308,645.00","319,177.87",(39.68),,(34.20),(27.08),19.65,"65,983",-7.31,"242,116.00",(27.74),"595,135",Utah,Software,Joshua James,0.10
Informa TechTarget (NAS: TTGT),958,"196,773.00",,(5.47),1.62,1.69,7.58,41.68,"701,070",1.00,"978,286.00",,,Massachusetts,Commercial Services,Michael Cotoia,1.99
Alkami (NAS: ALKT),938,"204,270.00","240,035.25",1.83,(14.32),(28.69),(24.40),34.25,"(92,301)",0.24,"488,885.00",66.21,"1,210,353",Texas,Software,Alex Shootman,4.31
VeriSign (NAS: VRSN),932,"1,424,900.00","1,553,871.32",50.04,195.45,47.29,69.30,7.33,"814,600",7.71,"1,733,400.00",0.25,"22,589,221",Virginia,IT Services,D. Bidzos,12.25
C3.ai (NYS: AI),891,"266,795.00","291,898.25",(9.91),(29.72),(100.77),(106.47),5.55,"(728,645)",0.01,"1,103,028.00",156.57,"1,232,155",California,Software,Thomas Siebel,31.71
Ibotta (NYS: IBTA),886,"320,037.00","392,683.44",(26.06),74.30,11.91,18.00,51.89,"1,857",0.70,"319,790.00",,,Colorado,Software,Brian Leach,1.77
Blend (Financial Software ) (NYS: BLND),881,"156,846.00","178,031.78",(22.68),(51.43),(114.69),(91.31),(33.31),"8,394",1.15,"206,065.00",77.08,"664,134",California,Software,Nima Ghamsari,7.35
Marqeta (NAS: MQ),854,"748,206.00","781,008.35",1.81,(11.99),(24.70),(24.19),44.67,"(1,612,276)",0.01,"1,770,346.00",14.24,"1,697,805",California,Software,Simon Khalaf,16.29
Duolingo (NAS: DUOL),830,"369,495.00","615,825.00",(30.87),(11.70),(16.12),(16.51),47.34,"(579,774)",0.05,"747,347.00",218.92,"2,286,185",Pennsylvania,Software,Luis von Ahn,0.77
Couchbase (NAS: BASE),796,"154,824.00","209,221.62",(37.60),(39.57),(44.24),(41.46),25.32,"(160,642)",0.05,"253,039.00",69.83,"498,535",California,Software,Matthew Cain,1.82
Digital Turbine (NAS: APPS),754,"665,920.00","857,039.90",(1.80),3.29,2.53,18.85,(10.93),"334,964",0.40,"1,266,556.00",(54.99),"1,571,157",Texas,Commercial Services,William Stone III,8.22
Eventbrite (NYS: EB),748,"326,134.00","376,598.15",(30.46),(7.33),(8.12),(8.29),24.99,"(281,987)",0.65,"913,330.00",42.66,"482,036",California,Media,Julia Hartz,4.79
Bakkt Holdings (NYS: BKKT),747,"56,224.00","54,217.94",(6.48),(142.84),"(3,539.30)","(3,517.68)",,"(212,978)",0.22,"455,502.00",87.39,"319,862",Georgia,Software,Gavin Michael,1.48
Riskified (NYS: RSKD),742,"297,610.00","401,091.64",(3.78),(14.52),(19.84),(23.83),13.92,"(443,497)",0.06,"601,932.00",1.30,"415,264",New York,Software,Eido Gal,0.02
Porch Group (NAS: PRCH),733,"275,948.00","153,304.44",(21.35),(25.41),(56.73),(43.38),43.40,"190,182",0.85,"1,049,057.00",63.83,"355,888",Washington,Services (Non-Financial),Matthew Ehrlichman,4.27
Amplitude (NAS: AMPL),724,"276,284.00","409,309.63",7.79,(30.03),(32.71),(30.21),16.05,"(318,796)",0.01,"433,684.00",5.30,"1,201,695",California,Software,Spenser Skates,0.30
Veritone (NAS: VERI),696,"149,728.00","226,517.40",(15.60),(8.45),(17.07),3.45,29.85,"(44,544)",0.64,"424,752.00",(65.85),"192,248",California,Software,Ryan Steelberg,2.55
MeridianLink (NYS: MLNK),676,"288,046.00","383,549.93",(3.05),1.96,0.45,28.67,7.61,"372,352",0.43,"1,059,157.00",80.41,"1,423,615",California,Software,Nicolas Vlok,8.90
Verve (New York) (STO: VER),672,"341,488.00","445,226.03",2.62,(4.04),(6.28),14.41,28.34,"279,310",0.57,"1,120,290.00",(35.95),"175,099",New York,Other Financial Services,Sekar Kathiresan,9.32
Mitek Systems (NAS: MITK),630,"172,552.00","292,461.02",0.80,4.54,4.65,22.28,19.16,"6,672",0.41,"405,375.00",34.57,"516,142",California,Software,,1.55
Telos (Network Management Software) (NAS: TLS),619,"216,887.00","293,884.82",(15.81),(27.51),(24.63),(21.49),(10.54),"(97,619)",0.11,"237,397.00",(28.29),"230,504",Virginia,Software,John Wood,1.25
Olo (NYS: OLO),617,"185,404.00","260,398.88",(0.12),(6.97),(24.79),(24.61),24.13,"(428,725)",0.03,"775,562.00",(8.48),"571,926",New York,Software,Noah Glass,2.97
Asure Software (NAS: ASUR),581,"119,082.00","204,960.41",(2.68),(2.98),(7.74),13.27,24.27,"(19,880)",0.05,"443,868.00",1.93,"213,090",Texas,Software,Patrick Goepel,2.63
MoneyLion (NYS: ML),575,"340,745.00","503,316.10",1.73,(28.15),(55.49),(47.90),99.18,"116,147",0.70,"596,342.00",237.04,"445,621",New York,Software,Diwakar Choubey,6.60
OneSpan (NAS: OSPN),571,"235,106.00","347,789.94",19.27,(16.38),(12.67),(9.75),7.35,"(36,177)",0.04,"289,191.00",(4.20),"364,390",Massachusetts,Software,Matthew Moynahan,8.53
Kaltura (NAS: KLTR),563,"168,811.00","247,886.93",(17.63),(58.33),(40.57),(33.52),2.30,"(27,119)",0.58,"206,171.00",13.37,"196,468",New York,Software,Ron Yekutiel,4.47
eGain (NAS: EGAN),544,"98,011.00","165,559.12",6.21,0.95,2.15,2.64,6.59,"(70,607)",0.04,"130,117.00",(7.75),"160,264",California,Software,Ashutosh Roy,0.98
PDF Solutions (NAS: PDFS),539,"148,549.00","324,342.79",1.35,(2.53),(2.31),4.66,33.76,"(131,837)",0.03,"278,671.00",12.69,"957,598",California,Semiconductors,John Kibarian,0.56
Pagaya (NAS: PGY),534,"685,414.00","847,236.09",(17.13),(39.84),(42.71),(47.83),53.73,"(98,542)",0.28,"1,045,079.00",11.29,"916,974",New York,Software,Gal Krubiner,1.78
Consensus Cloud Solutions (NAS: CCSI),518,"362,422.00","623,790.02",(7.19),21.60,20.06,45.70,2.77,"716,371",1.46,"633,899.00",(51.25),"1,772,104",California,Healthcare Technology Systems,R. Scott Turicchi,1.16
Voxtur Analytics (TSX: VXTR),500,"46,210.00","92,419.39",14.42,(92.89),(360.34),(357.12),(37.28),"41,706",0.46,"124,037.00",(54.69),"142,093",Florida,Software,Gary Yeoman,1.37
SmartRent (NYS: SMRT),494,"236,838.00","450,262.36",(46.98),,(14.60),(15.94),41.13,,1.52,"509,756.00",31.28,"437,064",Arizona,Software,Lucas Haldeman,4.22
A10 Networks (NYS: ATEN),481,"280,338.00","487,544.35",12.39,23.87,16.73,21.57,12.12,"(129,351)",0.11,"369,105.00",(20.81),"1,098,317",California,Software,Dhrupad Trivedi,4.58
BigBear.ai (NYS: BBAI),480,"155,011.00","238,845.92",(78.56),(48.53),(78.49),(65.28),6.48,"187,643",1.23,"195,308.00",217.65,"255,716",Maryland,IT Services,Amanda Long,1.94
